type,calories burned,climb (m),duration(s),distance(m),speed(m/s),calories burned per second,day_of_week,month
Running,894.0,174,4027.0,12770.0,3.1305555555555555,0.22200148994288552,Wednesday,May
Running,1061.0,245,5125.0,15000.0,2.938888888888889,0.20702439024390243,Sunday,April
Running,902.0,171,4088.0,12840.0,3.111111111111111,0.22064579256360078,Tuesday,April
Running,893.0,171,4027.0,12700.0,3.15,0.22175316612863175,Saturday,April
Running,901.0,172,3966.0,12840.0,3.1972222222222224,0.22718103883005547,Wednesday,April
Running,892.0,169,4027.0,12760.0,3.1277777777777778,0.22150484231437795,Sunday,April
Running,908.0,169,4027.0,12900.0,3.1722222222222225,0.22547802334243855,Friday,April
Running,892.0,173,4027.0,12820.0,3.180555555555556,0.22150484231437795,Wednesday,April
Running,1158.0,236,5491.0,16480.0,3.0000000000000004,0.2108905481697323,Sunday,April
Running,900.0,170,4210.0,12750.0,2.9972222222222222,0.21377672209026127,Friday,April
Running,582.0,135,2813.0,8320.0,2.958333333333333,0.20689655172413793,Tuesday,April
Running,841.0,202,3905.0,11820.0,3.0083333333333333,0.21536491677336747,Monday,March
